tag,size,rows,n,result,task_cycles,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full
vsger_hdv,32,-,32,PASSED,3004,2.9335,3072,870,0,0,128,32,96,96,1,64,0,160,160,160,160,96,0,0,0,481,94,63,2996,387,352,290,7,65,0,0,64,3333,33,8192,0,160,96,32,0,32,0,96,0
vsger_hdv,64,-,64,PASSED,4604,1.1240,4672,1382,0,0,256,64,192,192,1,128,0,320,320,320,320,192,0,0,0,737,94,63,4596,643,512,418,7,130,64,64,128,4901,66,8192,8160,320,192,64,0,32,0,192,0
vssymv_hdv,32,-,32,PASSED,128,.1250,196,26,0,0,6,1,3,3,1,5,0,8,9,8,8,78,0,0,0,12,0,0,110,12,9,7,9,2,0,0,2,520,0,640,0,6,78,3,0,1,0,5,0
vssymv_hdv,64,-,64,PASSED,138,.0336,206,26,0,0,6,1,3,3,1,5,0,8,9,8,8,88,0,0,0,12,0,0,118,12,9,7,9,2,0,0,2,530,0,768,0,6,88,3,0,1,0,5,0
vssyrk_hdv,32,-,32,FAILED,65534,63.9980,,11407,,,,,,,,,,,,,,,,,,6551,870,846,65526,5681,4085,3263,11,25390,0,0,818,0,24,3200,0,1684,62912,817,62070,0,0,818,0
vssyrk_hdv,64,-,64,FAILED,65534,15.9995,,6349,,,,,,,,,,,,,,,,,,3639,470,463,65526,3169,2271,1815,20,28613,0,0,454,0,6,1792,0,920,64049,453,63589,0,0,454,0
vstrsm_hdv,32,-,32,PASSED,40898,39.9394,40966,9237,0,1,1585,0,1521,1521,3,64,0,1585,1585,655,1585,9298,0,0,0,4854,594,561,40890,4260,3237,2711,9,604,0,0,528,0,604,270336,0,2112,8833,562,7752,531,3,792,0
vstrsm_hdv,64,-,64,FAILED,65534,15.9995,,14549,,,,,,,,,,,,,,,,,,7683,878,863,65526,6805,5124,4281,9,960,0,0,849,0,959,434688,0,3393,15068,865,13346,851,3,1273,0
vsgemv_hdv,32,-,32,PASSED,126,.1230,194,20,0,0,6,1,3,3,1,5,0,8,9,8,8,76,0,0,0,10,0,0,72,10,7,5,7,2,0,0,2,518,0,640,0,6,76,3,0,1,0,5,0
vsgemv_hdv,64,-,64,PASSED,136,.0332,204,20,0,0,6,1,3,3,1,5,0,8,9,8,8,86,0,0,0,10,0,0,72,10,7,5,7,2,0,0,2,528,0,768,0,6,86,3,0,1,0,5,0
